year,episode_number,title,airdate,rating,total_votes,desc
1999,1,Ore wa Rufi! Kaizoku O ni Naru Otoko Da!,20 Oct. 1999,7.6,"(2,949)","Alvida pirates plunder a ship only to find a barrel containing a strange boy names Luffy who is on a quest to find the legendary ""One Piece"" and become the King of Pirates."
2000,33,Usopp Shisu?! Luffy Jouriku wa Mada?,19 Jul. 2000,7.8,(819),"After Zoro escapes with Nami's help, she tries to prove her loyalty to the Arlong Pirates by appearing to kill Usopp. Meanwhile, Luffy's group finally arrives at the island."
2000,34,Zen'in Shuuketsu! Usopp ga Kataru Nami no Shinjitsu,26 Jul. 2000,7.4,(809),"Luffy, Sanji, and Yosaku made a crash landing in the plains of the island. Zoro(who got ran over by their boat) tells them that he needs to go rescue Usopp from the mermen. Only when Johnny came by all depressed and told them that Usopp has been killed by Nami. Either one of them, including Luffy couldn't believe it. Luffy declined that it's a lie, but Johnny wished that was true. Then Nami comes by and just told them all solemnly that the only reason she was with Luffy was for the money and nothing more. Sanji admired the way Nami acted serious, but Zoro corrects him..."
2000,35,Himerareta Kako! Onna Senshi Bell-mere!,2 Aug. 2000,8.0,(858),"Nojiko starts her story about Nami's childhood and their adopted mother, Bellemere. Despite being poor and none of them being related by blood, they had a happy life."
2000,36,Ikinuke! Haha Bellemere to Nami no Kizuna!,9 Aug. 2000,8.9,"(1,981)","Nojiko continues her story, explaining how their life was ruined when the Arlong Pirates first took over the village."
2000,37,Luffy Tatsu! Uragirareta Yakusoku no Ketsumatsu!,16 Aug. 2000,9.2,"(2,465)","When marine officers under Arlong confiscate Nami's money, the villagers start a rebelion. Desperate, Nami asks Luffy for help."
2000,38,Luffy Dai Pinch! Gyojin Tai Luffy Kaizokudan,23 Aug. 2000,8.1,(867),The Straw Hats face the Fishmen themselves as the villagers watch from the sidelines.
2000,39,Luffy Suibotsu! Zoro vs Tako no Hacchan,30 Aug. 2000,8.0,(821),Arlong has trapped Luffy in the ocean and Zoro faces the six-sword wielding octopus Hatchan.
2000,40,Hokoritakaki Senshi! Gekitou Sanji to Usopp,6 Sep. 2000,8.0,(818),"Sanji was about to help Luffy out, until Kurobi swam and knocked Sanji out. He continuously beat Sanji up with his karate moves. And didn't gave him a chance to resurface for air. Kurobi goes on how inferior Humans are when it comes to needing air to survive. As Sanji is running out of breathe, he discovers that Kurobi has gills like a fish. Which means that Kurobi will be useless if his own gills were damaged. So he bit Kurobi's gills and resurfaced to breathe again. Kurobi also resurfaced and told Sanji that it's doesn't matter if the battle in underwater or on land..."
2000,41,Luffy Zenkai! Nami no Ketsui to Mugiwara Boushi,13 Sep. 2000,8.0,(808),"With Arlong's officers defeated Zoro and Sanji take on Arlong but prove that they aren't a match for him. However, with Luffy finally free, he takes on Arlong himself."
2000,42,Sakuretsu! Gyojin Arlong Umi kara no Moukougeki!,27 Sep. 2000,8.0,(795),"Luffy returns to the fight, and the battle with Arlong versus Luffy begins."
2000,43,Gyojin Teikoku no Owari! Nami wa Ore no Nakama Da!,27 Sep. 2000,8.5,"(1,292)",The battle spreads into Arlong Park itself and Arlong is no longer holding back.
2000,44,Egao no Tabidachi! Saraba Furusato Cocoyashi Mura,11 Oct. 2000,7.8,(791),"Arlong's reign of terror is over, and no one has anything on their mind except to party. As the crew celebrates, Nami reflects on her hometown and decides to officially join the Straw Hat Pirates."
2000,46,Mugiwara o Oe! Chiisana Buggy no Daibouken,1 Nov. 2000,6.2,(773),"It's morning, and the Straw Hat Pirates are enjoying their breakfast. Nami remembered when she and Luffy first meet, back when they encountered Buggy the Clown. Nami asked Luffy, if he'd know what had happen to Buggy. Luffy doesn't have a slight clue, but figures he's somewhere far away. Meanwhile on an island, the clown of terror himself, Buggy has spent his time wisely on the island Luffy punched him to the last time they met. He's shorter because he lost his parts from the last time. So he is now the height of a circus midget. He built a raft, and heads off to find..."
2000,47,Omachikane! Aa Fukkatsu no Buggy Senchou!,8 Nov. 2000,6.1,(776),Buggy tells the mystery woman he's accompanied with. That he's planning to find his old crew. Meanwhile we learn that that the Buggy Crew had escaped from the angry mob of villagers and had to cat off cowardly. Mohji and Cabaji both were worried on what became of their captain. As the only thing they have left of him are his parts(which were all gathered and tied up thanks to Nami). Mohji blamed Nami for Buggy to loose his parts. While Cabaji has a grudge for being defeated by Zoro. The crew heads for a tropical island and made a memorial for Buggy. As they presume ...
2000,48,Hajimari to Owari no Machi: Loguetown Jouriku,22 Nov. 2000,7.8,(777),"The Straw Hat Pirate Crew, has finally made it to LougeTown. The place where the famous Pirate King Gold Roger was born, raised, and died in. Luffy looks forward in seeing Gold Roger's execution platform. Meanwhile familiar enemies are lurking the town."
2000,49,Sandai Kitetsu to Yubashiri! Zoro no Shintou to Onna Souchou,22 Nov. 2000,7.9,(832),"While searching for a pair of new swords to replace the ones shattered by Mihawk, Zoro meets a woman named Tashigi. At first site, she looks exactly like Kuina."
2000,50,Usopp Tai Kozure no Daddy: Mahiru no Kettou,29 Nov. 2000,7.4,(726),"Usopp manages to anger the daughter of bounty hunter Daddy the Father. All because he wanted a pair of new goggles, that were meant to be a gift for Daddy. Usopp finds his own life at stake, when Daddy challenges him over a duel to claim the goggles."
2001,54,Aratanaru Bouken no Yokan! Nazo no Shoujo Apis,17 Jan. 2001,7.0,(612),"During the storm, a girl escaped from a Marine ship. The report was sent to Admiral Nelson Royale, who is very disappointed that the marines had made this mistake. And explained to them that the girl is the key to obtaining Ryuukotsu, the elixir of eternal life. His servant Erik was given a task to search and find the girl at all costs. It's been 2 days since the Straw Hat Pirates left Loguetown. Usopp spotted a flock of bird surrounding an object at sea. Sanji explained that normally birds would do that, when a school of fish are around. Luffy got excited and used ..."
2001,55,Kiseki no Seibutsu! Apis no Himitsu to Densetsu no Shima,24 Jan. 2001,6.7,(613),"The Staw Hat Pirates find themselves stranded in the Calm Belt. A place where ships never come out alive. They all don't find it to be dangerous, but Nami had to explain to them on why it is an issue. The Calm Belt is a current of calm water that guards the entrance to the Grand Line. Wind and waves never occur in the Calm Belt, which makes the sails on a ship useless. Not only that but it's also home to many sea beasts. Then a huge sea monster comes out from below lifting the Going Merry. As well as a whole bunch of sea beasts came out of the water. Apis fell out of ..."
2001,56,Eric Shutsugeki! Gunkanjima kara no Daidasshutsu!,31 Jan. 2001,6.6,(607),"Nami and Luffy went to tell Usopp, Zoro, and Sanji on what they've witnessed. Only to find them all asleep, while the half asleep Bokuden is still talking about Gunkan Island's ancestry. They woke, and heard from a village local that a group of marine ships are coming ashore. Nami told the him that if Bokuden wakes up, just tell him that they'll protect Apis at all costs. When they got back to the cave, both Usopp, Sanji, and Zoro couldn't believe it for their own eyes. Apis explained to them that Ryuuji is a Ryuukotsu Dragon. Who has lost of his strength, and ..."
2001,57,Zekkai no Kotou! Densetsu no Lost Island,7 Feb. 2001,6.5,(597),"The Straw Hat Pirates and Apis are now taking Ryuuji back to Dragon's Nest, Lost Island. The marines back at Gunkan Island are busy repairing the damages they've caused. Erik informs the major, that he has a hunch on where they'll find the millennium dragon. And insists they head straight to where the Straw Head Pirates are going. Erik made sure that a report to Admiral Nelson won't go through. As he reveals to himself that he plans on getting the elixir of eternal life for him, to become an invincible mercenary. Admiral Nelson however got the report from a marine ..."
2001,58,Haikyo no Kettou! Kinpaku no Zoro VS Erik!,21 Feb. 2001,6.6,(581),"The Straw Hat Pirates. Apis and Ryuuji find themselves in a temple on what believed to be the Dragon's Nest. But all they found was a high ceiling with pictures of dragons and people. It didn't look like a place where dragons once roam. Apis asked Ryuuji, but he doesn't even know what this place is either. Usopp complained that the dragon isn't too helpful at all. While Apis started to argue with him that he's not at all helpful either. Luffy found a large piece of the ceiling that was once part of the ceiling. As well as other pieces that collapsed and caved in most ..."
